Sh_x,Sh_y,Sh_z,El_x,El_y,El_z,Wr_x,Wr_y,Wr_z,WrVec_x,WrVec_y,WrVec_z,Trunk_x,Trunk_y,Trunk_z
-140.47377179307196,49.99337299339979,91.78416363268897,-256.6308276550438,-111.74224928642381,-165.23739643923258,-122.54068447525437,-325.6630834176017,-150.64816091280164,-50.08818211965635,-32.371737282203576,-41.142354523857136,28.265955561325583,546.913656333364,207.3017847630268
-140.50729042689477,49.920980465051535,91.78458410597104,-256.1210860361628,-111.7458562924708,-165.57529105053294,-122.01885676324731,-325.6044992061145,-151.33043171044665,-50.09873151755042,-32.29820062399796,-41.20715784383745,28.1730645135898,546.7695614522257,207.20816279610727
-140.4909049931552,49.43005247602937,91.99606347584586,-256.4512081528903,-111.77520403134653,-165.5263509859799,-122.45285556498806,-325.65479803084526,-151.93525607825688,-50.16920793047582,-32.21768355052568,-41.16967094703367,28.925185787863118,546.0655659860449,207.00716583546927
-140.53175555457338,49.423157202426914,91.96943173799393,-255.97436954697375,-111.59340608552853,-165.96966464560478,-122.07582209074066,-325.54481928439765,-152.70246510150628,-50.17267133047861,-32.0585710773762,-41.286959633609065,28.764301161107944,546.0000633598038,206.9241956547902
-140.51471975528264,48.92485969562021,92.18675795123553,-256.43701384532943,-111.51708817085077,-165.9308423003191,-122.77163709655679,-325.61359560223264,-153.43983963856925,-50.27814752405809,-31.89956323137703,-41.246213043521095,29.57215212938777,545.2876522834878,206.7195370817625
-140.56422148033383,48.980449219282285,92.12734462361651,-255.94099561428013,-111.26251303780191,-166.42847246279496,-122.48764313411623,-325.52482929790756,-154.39082443593105,-50.32616828374274,-31.670110766459743,-41.352042259858166,29.312560777464448,545.3171765343174,206.65466546094518
-140.54533226977685,48.4482842886484,92.3555912890763,-256.53678052249194,-111.19071297145173,-166.3255724135036,-123.42210657099083,-325.657147812186,-155.29679646602222,-50.49518001811061,-31.463456508255916,-41.257483564140195,30.189575525390016,544.5829148838448,206.44909725559074
-140.6049368030095,48.569818605905446,92.25366918492921,-255.97735542079033,-110.95159325137998,-166.8354189604815,-123.13576318395432,-325.6019941311743,-156.41107183666313,-50.578450529052105,-31.19468356563479,-41.34423868057525,29.788009700344357,544.7332372174742,206.41293322584022
-140.58124234699542,47.9707207780728,92.50063909619877,-256.73493220871103,-110.96781251996906,-166.59673821603133,-124.27476230770633,-325.8108853901131,-157.39740283906414,-50.77829151427637,-30.973347376907554,-41.21472263002097,30.76538624719114,543.9521452849625,206.2077053261607
-140.65402686493695,48.17954714580239,92.33763880855966,-256.0455914623862,-110.79691900117217,-167.1100061367531,-123.8422587397017,-325.78229796885256,-158.54877751314405,-50.83681466781882,-30.692675979471044,-41.34441573214894,30.153775121303184,544.2664032077795,206.21433492805738
-140.61913419153424,47.46729172766009,92.62032144796046,-257.0215156037711,-110.95878941212393,-166.6714996465161,-125.17710557627778,-326.08747181622357,-159.44257180664923,-51.016956576215506,-30.48897053649701,-41.227425543342925,31.303133620546742,543.3856426033974,206.00514192924965
-140.71111083724097,47.82675627617122,92.35956347128462,-256.0656337220069,-110.8674650600532,-167.24371172152496,-124.39324804056602,-326.07602019963724,-160.47095135994647,-51.00494392640959,-30.227593280166683,-41.455477613198404,30.351834462286583,543.9485307564702,206.07655290704054
-140.65164042367712,46.909192317747646,92.7203786390794,-257.4050158019797,-111.21989082928013,-166.51917418487486,-126.04451639265181,-326.5241072585116,-161.0908138073943,-51.18248725311991,-30.095894151322298,-41.30898771772258,31.855809102889527,542.8383387026375,205.84481247356177
-140.77990353799143,47.600552085539114,92.2722585488735,-255.8423096155347,-111.16008910822825,-167.33936029367948,-124.53447364447622,-326.4877379284672,-161.9006132167622,-51.12494029740992,-29.902428957883252,-41.60141124748666,30.228683891950784,543.8751853565994,206.02791167624773
-140.65289879389584,46.156932627434564,92.87373314246761,-258.11829017123085,-111.79134257880125,-166.029509673831,-127.1401343638039,-327.19550493745163,-162.0890402748179,-51.448484124240814,-29.93588915009917,-41.17384633338514,32.73655601689437,542.0841105689466,205.69305988696888
-140.91647093589944,48.07427787496574,91.80079292456628,-254.3534847779218,-111.48071013999412,-167.9893012240855,-123.23342505142689,-326.84414568305925,-162.8136736945177,-51.344488262123,-29.82161614321525,-41.57173216186497,28.73571241294776,544.754457759875,206.2097924591009
